schemaVersion,recordType,source.name,source.url,content.startupName,content.pricingModel,collectedAt
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/perceptron-ml,Perceptron ML,UNKNOWN,2026-09-06T23:02:49.241656Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/erinys,Erinys,UNKNOWN,2026-09-06T23:02:49.241688Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/donkey,Donkey,UNKNOWN,2026-09-06T23:02:49.241720Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/hoplite,Hoplite,UNKNOWN,2026-09-06T23:02:49.241752Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/pango,Pango,UNKNOWN,2026-09-06T23:02:49.241762Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/torus,Torus,UNKNOWN,2026-09-06T23:02:49.241774Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/kebra,Kebra,UNKNOWN,2026-09-06T23:02:49.241786Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/gitcafe,GitCafe,UNKNOWN,2026-09-06T23:02:49.241821Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/rindler,Rindler,UNKNOWN,2026-09-06T23:02:49.241852Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/proprio-robotics,Proprio Robotics,UNKNOWN,2026-09-06T23:02:49.241885Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/amorphic-labs,Amorphic Labs,UNKNOWN,2026-09-06T23:02:49.241919Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/rekursivai,rekursiv.ai,UNKNOWN,2026-09-06T23:02:49.241951Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/playablai,Playabl.ai,UNKNOWN,2026-09-06T23:02:49.241986Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/enjamb-labs,Enjamb Labs,UNKNOWN,2026-09-06T23:02:49.242018Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/trident,Trident,UNKNOWN,2026-09-06T23:02:49.242052Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/revnu,Revnu,UNKNOWN,2026-09-06T23:02:49.242134Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/uno-wallet,Uno Wallet,UNKNOWN,2026-09-06T23:02:49.242172Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/tolmo,Tolmo,UNKNOWN,2026-09-06T23:02:49.242236Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/pops,Pops,UNKNOWN,2026-09-06T23:02:49.242332Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/armature,Armature,UNKNOWN,2026-09-06T23:02:49.242452Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/collar,Collar,UNKNOWN,2026-09-06T23:02:49.242504Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/degla-inc,Degla Inc,UNKNOWN,2026-09-06T23:02:49.242517Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/archer,Archer,UNKNOWN,2026-09-06T23:02:49.242552Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/infera,Infera,UNKNOWN,2026-09-06T23:02:49.242589Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/keyframe-labs,Keyframe Labs,UNKNOWN,2026-09-06T23:02:49.242626Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/ontora,Ontora,UNKNOWN,2026-09-06T23:02:49.242661Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/lab0,Lab0,UNKNOWN,2026-09-06T23:02:49.242780Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/kimpton,Kimpton,UNKNOWN,2026-09-06T23:02:49.242815Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/stablebrowse,StableBrowse,UNKNOWN,2026-09-06T23:02:49.242852Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/userlens,Userlens,UNKNOWN,2026-09-06T23:02:49.242891Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/superlog,Superlog,UNKNOWN,2026-09-06T23:02:49.242935Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/godhands,GodHands,UNKNOWN,2026-09-06T23:02:49.242972Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/light-anchor,Light Anchor,UNKNOWN,2026-09-06T23:02:49.243008Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/hub,Hub,UNKNOWN,2026-09-06T23:02:49.243109Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/zenbu-2,Zenbu,UNKNOWN,2026-09-06T23:02:49.243121Z
